airbnb_id,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,instant_bookable,reviews_per_month
35797,153786,28/06/2010,,,f,,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,19.38283,-99.27178,Entire villa,Entire home/apt,2,1 bath,1,1,3967,1,7,364,0,,,,,,f,
44616,196253,09/08/2010,within a few hours,1,f,Condesa,9,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'work_email']",t,t,19.41162,-99.17794,Entire house,Entire home/apt,14,5.5 baths,5,8,11000,1,365,360,49,91,9,10,10,10,f,0.43
56074,265650,19/10/2010,within an hour,1,t,San Rafael,2,"['email', 'phone', 'facebook', 'reviews']",t,f,19.43977,-99.15605,Entire condominium,Entire home/apt,2,1 bath,1,1,494,2,250,261,57,98,10,10,10,10,t,0.46
67703,334451,04/01/2011,within a day,1,f,Hipódromo,4,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,19.41152,-99.16857,Entire apartment,Entire home/apt,4,1 bath,2,3,1896,4,30,333,39,98,10,10,10,10,f,0.34
70644,212109,24/08/2010,within an hour,1,t,Coyoacán,4,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'identity_manual', 'work_email']",t,t,19.35448,-99.16217,Entire apartment,Entire home/apt,2,1 bath,1,1,1091,10,180,183,103,98,10,10,10,10,f,0.92
107078,540705,27/04/2011,within an hour,1,f,Polanco,3,"['email', 'phone', 'facebook', 'reviews', 'manual_offline', 'jumio', 'offline_government_id', 'government_id']",t,t,19.43211,-99.19327,Entire loft,Entire home/apt,2,1.5 baths,1,1,3530,4,365,290,10,100,10,10,10,10,t,0.17
131610,647454,31/05/2011,within an hour,1,f,Coyoacán,3,['phone'],t,f,19.35416,-99.16488,Private room,Private room,2,1 private bath,1,1,1349,1,730,0,0,,,,,,f,
165772,790208,07/07/2011,within an hour,0.94,f,San Miguel Chapultepec,4,"['email', 'phone', 'facebook', 'reviews', 'manual_offline', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.40826,-99.18659,Entire house,Entire home/apt,14,4.5 baths,4,10,3272,2,365,312,268,98,10,10,10,10,f,2.26
171109,816295,13/07/2011,within an hour,1,t,Nápoles,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.39675,-99.17581,Private room in apartment,Private room,2,1 shared bath,1,0,250,4,21,348,72,97,9,10,10,10,f,0.83
180808,36836,07/09/2009,within a few hours,1,f,Juárez,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,19.4239,-99.1689,Entire loft,Entire home/apt,2,1.5 baths,1,1,1431,3,365,365,36,94,9,10,10,10,t,0.33
